id,name,text,summary,score
71,Liz D.,"I have 3 strong bulldogs and this toy stands up to some serious tug of war, as well as chewing. Eventually, they do break through the outer coating, but it takes a good while. And, if I pull the stuffing out they can enjoy it a while longer. One of the longest lasting soft toys I've found, and we try a lot of toys!",Durable and stands up to epic tug of war,5
72,"""Chris F \""root\""""","""I am currently trying to train our dog to be able to walk without the leash or at least without needing this to frequently hold him back. However, he can definitely run at full speed and the thin cord holding this to the base has yet to snap or fail in anyway. I'll probably keep using this until it fails. To be honest though, you can really train your dog not to constantly tug on the leash and try to get out of your range/lead. The leash may simply be there as a reminder you are in control, or for an extreme situation (dog gets to excited and quickly jolts after something before you have a chance to respond and him to acknowledge). Of course that training may not work with all dogs, but of the three dogs I've owned and trained, I didn't really have the problem of the \""dog walking the owner\"" as I see commonly done up and down the streets.Overall a good leash, can hold at least the weight its rated at and then some, at a good price.""",Holds back our 50lb golden,5
73,AnonyMiss,"Works best on the medium to large size Kongs, but the base of the handle hides a teensy brush you can unscrew and use for the smaller ones. That one works OK, but this is actually a product that should come in more than one size...it's that useful.","Seems totally dumb, but it's NOT!",5
74,D Leschke,"""I just received the Salmon, the Duck and the Chicken strips.Our JRT is very fussy and horribly spoiled.She turns up her nose and walks away from many treats I've tried.Most of the \""organic\"" or \""healthy\"" treats I've tried haven't won her over.She just had one each of the Salmon, Duck and Chicken and LOVED all of them!I'm thrilled that they are made in the US and contain ingredients I approve of.Thank you Plato and Amazon!""",Wonderful!,5
75,CharLee Brown,"This is the first time I have seen the birds actually sit inside the tray. I had a ceramic plate hanging from the tree that the squirrels would sit it, but not the birds. I really like that it's a steel mesh that doesn't retain water when it rains; makes it easier to clean out.",Best bird feeding tray,5
76,"""SassySavi \""VioLetskieZ\""""",I got this for my mom's dog who is a very picky pup. He usually has a hard time getting used to food and it takes quite a few feedings but he took to this one right away! I guess the fact that he is a fan makes us a fan too :-),Pupster approved!,3
77,"""D Redding \""Harmony\""""","This seems like a great food because of the ingredients, but I really didn't notice that my dog liked it any better.  Right after I ordered this I found Simply Nourish at PetsMart with similar qualities of ingredients, so I will switch to that.  This product is not available within 100 miles of my home, so I would have to order it every time I need it.  Being able to go to the store and purchase makes it better for me.",Great food with a simple ingredient list,4
78,smaze,"When I received these I read the directions on the package.  It states that your pet must not swallow it whole or it can suffer serious problems.  I have a dog that tends to gulp food.  Therefore I question the safety of giving him this product.  Would even large pieces swallowed cause problems?  No, I will not use this and I am going to throw them away.  I would not put anyone else's pet at risk.",Safe for pet?,1
79,thelittlemermaid,"We just received this today and my bunny Oliver is all ready going to town on it! He has never shown interest in any other toys but this is his new favorite thing. He is chinning, chewing, licking and rolling it around. I am very happy with this purchase and at the rate he is going, will probably have to order another one soon!",Bunny loves it!,5
80,Isabel,"My cats love this food.  Ideal Balance was recommended by my vet after Nature's Best was discontinued, and I initially tried the regular formula - with grain - but my old cat with a very sensitive stomach threw up.When I bought the grain free Ideal Balance, he loved it and my other cats also love it and I have been buying the grain free formula since it came on the market.",My cats love it,5
